Quilombo (Live);Soulfly (Bonus Cd);Soulfly;1999;248;7;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\1999 - Bonus CD\07 - Quilombo (Live).mp3
The Song Remains Insane (Live);Soulfly (Bonus Cd);Soulfly;1999;141;8;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\1999 - Bonus CD\08 - The Song Remains Insane (Live).mp3
Eye For An Eye (Live At Indigo Ranch);Soulfly (Bonus Cd);Soulfly;1999;213;9;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\1999 - Bonus CD\09 - Eye For An Eye (Live At Indigo Ranch).mp3
Tribe (Tribal Terrorism Mix);Soulfly (Bonus Cd);Soulfly;1999;258;10;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\1999 - Bonus CD\10 - Tribe (Tribal Terrorism Mix).mp3
Umbabarauma (Brasil '70 Mix);Soulfly (Bonus Cd);Soulfly;1999;268;11;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\1999 - Bonus CD\11 - Umbabarauma (Brasil '70 Mix).mp3
Quilombo (Zumbi Dub Mix);Soulfly (Bonus Cd);Soulfly;1999;205;12;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\1999 - Bonus CD\12 - Quilombo (Zumbi Dub Mix).mp3
Soulfly (Eternal Spirit Mix);Soulfly (Bonus Cd);Soulfly;1999;327;13;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\1999 - Bonus CD\13 - Soulfly (Eternal Spirit Mix).mp3
Eye For An Eye (Live);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;227;1;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\01 - Eye For An Eye (Live).mp3
No Hope = No Fear (Live);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;249;2;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\02 - No Hope = No Fear (Live).mp3
Spit (Live) (Sepultura Cover);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;164;3;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\03 - Spit (Live) (Sepultura cover).mp3
Bleed (Live);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;269;4;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\04 - Bleed (Live).mp3
Beneath The Remains/Dead Embryonic Cells (Live);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;222;5;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\05 - Beneath The Remains_Dead Embryonic Cells (Live).mp3
Tribe (Live);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;393;6;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\06 - Tribe (Live).mp3
Bumba (Live);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;191;7;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\07 - Bumba (Live).mp3
Refuse - Resist (Live);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;224;8;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\08 - Refuse - Resist (Live).mp3
Quilombo (Live);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;241;9;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\09 - Quilombo (Live).mp3
Roots Bloody Roots (Live) (Sepultura Cover);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;205;10;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\10 - Roots Bloody Roots (Live) (Sepultura cover).mp3
Attitude (Live);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;232;11;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\11 - Attitude (Live).mp3
The Song Remains Insane (Live);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;234;12;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\12 - The Song Remains Insane (Live).mp3
No (Live);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;308;13;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\13 - No (Live).mp3
Max Cavalera Spoken Word Performance (Crossing Border Festival 1997);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;1049;14;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\14 - Max Cavalera Spoken Word Performance (Crossing Border Festival 1997).mp3
Spoken Word Jam (Crossing Border Festival 1997);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;259;15;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\15 - Spoken Word Jam (Crossing Border Festival 1997).mp3
Eye For An Eye (4-Track Demo Version);Soulfly (Bonus Cd - Live At Roskilde Festival 1998);Soulfly;2005;209;16;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\2005 - Bonus CD (Live at Roskilde Festival 1998)\16 - Eye For An Eye (4-track Demo Version).mp3
Back To The Primitive;Primitive (Japanese Limited Edition);Soulfly;2000;262;1;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\01 - Back To The Primitive.mp3
Pain (Feat. Grady Avenell & Chino Moreno);Primitive (Japanese Limited Edition);Soulfly;2000;220;2;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\02 - Pain (feat. Grady Avenell & Chino Moreno).mp3
Bring It;Primitive (Japanese Limited Edition);Soulfly;2000;202;3;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\03 - Bring It.mp3
Jumpdafuckup (Feat. Corey Taylor);Primitive (Japanese Limited Edition);Soulfly;2000;312;4;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\04 - Jumpdafuckup (feat. Corey Taylor).mp3
Mulambo (Feat. The Mulambo Tribe);Primitive (Japanese Limited Edition);Soulfly;2000;260;5;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\05 - Mulambo (feat. The Mulambo Tribe).mp3
Son Song (Feat. Sean Lennon);Primitive (Japanese Limited Edition);Soulfly;2000;258;6;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\06 - Son Song (feat. Sean Lennon).mp3
Boom;Primitive (Japanese Limited Edition);Soulfly;2000;297;7;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\07 - Boom.mp3
Terrorist (Feat. Tom Araya);Primitive (Japanese Limited Edition);Soulfly;2000;227;8;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\08 - Terrorist (feat. Tom Araya).mp3
The Prophet;Primitive (Japanese Limited Edition);Soulfly;2000;177;9;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\09 - The Prophet.mp3
Soulfly Ii;Primitive (Japanese Limited Edition);Soulfly;2000;365;10;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\10 - Soulfly II.mp3
In Memory Of... (Feat. Babatunde Rabouin, Deonte Perry & Justin Olbert);Primitive (Japanese Limited Edition);Soulfly;2000;277;11;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\11 - In Memory Of... (feat. Babatunde Rabouin, Deonte Perry & Justin Olbert).mp3
Flyhigh (Feat. Asha Rabouin);Primitive (Japanese Limited Edition);Soulfly;2000;291;12;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\12 - Flyhigh (feat. Asha Rabouin).mp3
Eye For An Eye (Live At Roskilde Festival 1998) (Bonus Track);Primitive (Japanese Limited Edition);Soulfly;2000;230;13;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\13 - Eye For An Eye (Live at Roskilde Festival 1998) (Bonus track).mp3
Tribe (Live At Roskilde Festival 1998) (Bonus Track);Primitive (Japanese Limited Edition);Soulfly;2000;385;14;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\14 - Tribe (Live at Roskilde Festival 1998) (Bonus track).mp3
Soulfire (Remix Of Fire) (Bonus Track);Primitive (Japanese Limited Edition);Soulfly;2000;315;15;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\15 - Soulfire (Remix Of Fire) (Bonus track).mp3
Soulfly (Universal Spirit Mix) (Bonus Track);Primitive (Japanese Limited Edition);Soulfly;2000;369;16;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\16 - Soulfly (Universal Spirit Mix) (Bonus track).mp3
